==PROF== Connected to process 86741 (/content/intloop2/port27/src/bin/RNAfold)
==PROF== Disconnected from process 86741
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","523,520"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","6,144"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","14.18"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","11,520"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","1.65"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","byte","1,140,512"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","21,582"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","78.19"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","35,641"
"0","86741","RNAfold","127.0.0.1","void modular_decomposition_kernel<32>(int, int, int, int, const int *, const int *, const short *, const int *, const unsigned long *, const unsigned long *, int *, int *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long, const int *)","1","13","(1024, 1, 1)","(36, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","41.28"
